[serviceName] :   [portNumber] : ËK|  [Protocol] : 
[serviceName] : activesync  [portNumber] : 1034  [Protocol] : tcp
[serviceName] : afpovertcp  [portNumber] : 548  [Protocol] : udp
[serviceName] : afpovertcp  [portNumber] : 548  [Protocol] : tcp
[serviceName] : auth  [portNumber] : 113  [Protocol] : tcp
[serviceName] : bgp  [portNumber] : 179  [Protocol] : tcp
[serviceName] : biff  [portNumber] : 512  [Protocol] : udp
[serviceName] : bootpc  [portNumber] : 68  [Protocol] : udp
[serviceName] : bootps  [portNumber] : 67  [Protocol] : udp
[serviceName] : chargen  [portNumber] : 19  [Protocol] : tcp
[serviceName] : chargen  [portNumber] : 19  [Protocol] : udp
[serviceName] : cifs  [portNumber] : 3020  [Protocol] : tcp
[serviceName] : cifs  [portNumber] : 3020  [Protocol] : udp
[serviceName] : close-combat  [portNumber] : 1944  [Protocol] : tcp
[serviceName] : close-combat  [portNumber] : 1944  [Protocol] : udp
[serviceName] : cmd  [portNumber] : 514  [Protocol] : tcp
[serviceName] : conference  [portNumber] : 531  [Protocol] : tcp
[serviceName] : courier  [portNumber] : 530  [Protocol] : tcp
[serviceName] : crs  [portNumber] : 507  [Protocol] : udp
[serviceName] : crs  [portNumber] : 507  [Protocol] : tcp
[serviceName] : daytime  [portNumber] : 13  [Protocol] : udp
[serviceName] : daytime  [portNumber] : 13  [Protocol] : tcp
[serviceName] : dccm  [portNumber] : 5679  [Protocol] : tcp
[serviceName] : dccm  [portNumber] : 5679  [Protocol] : udp
[serviceName] : dhcpv6-client  [portNumber] : 546  [Protocol] : udp
[serviceName] : dhcpv6-client  [portNumber] : 546  [Protocol] : tcp
[serviceName] : dhcpv6-server  [portNumber] : 547  [Protocol] : udp
[serviceName] : dhcpv6-server  [portNumber] : 547  [Protocol] : tcp
[serviceName] : directplay  [portNumber] : 2234  [Protocol] : tcp
[serviceName] : directplay  [portNumber] : 2234  [Protocol] : udp
[serviceName] : directplay8  [portNumber] : 6073  [Protocol] : tcp
[serviceName] : directplay8  [portNumber] : 6073  [Protocol] : udp
[serviceName] : directplaysrvr  [portNumber] : 47624  [Protocol] : tcp
[serviceName] : directplaysrvr  [portNumber] : 47624  [Protocol] : udp
[serviceName] : discard  [portNumber] : 9  [Protocol] : udp
[serviceName] : discard  [portNumber] : 9  [Protocol] : tcp
[serviceName] : domain  [portNumber] : 53  [Protocol] : udp
[serviceName] : domain  [portNumber] : 53  [Protocol] : tcp
[serviceName] : doom  [portNumber] : 666  [Protocol] : udp
[serviceName] : doom  [portNumber] : 666  [Protocol] : tcp
[serviceName] : dvcprov-port  [portNumber] : 3776  [Protocol] : tcp
[serviceName] : dvcprov-port  [portNumber] : 3776  [Protocol] : udp
[serviceName] : echo  [portNumber] : 7  [Protocol] : udp
[serviceName] : echo  [portNumber] : 7  [Protocol] : tcp
[serviceName] : efs  [portNumber] : 520  [Protocol] : tcp
[serviceName] : epmap  [portNumber] : 135  [Protocol] : udp
[serviceName] : epmap  [portNumber] : 135  [Protocol] : tcp
[serviceName] : exec  [portNumber] : 512  [Protocol] : tcp
[serviceName] : finger  [portNumber] : 79  [Protocol] : tcp
[serviceName] : ftp  [portNumber] : 21  [Protocol] : tcp
[serviceName] : ftp-data  [portNumber] : 20  [Protocol] : tcp
[serviceName] : ftps  [portNumber] : 990  [Protocol] : tcp
[serviceName] : ftps-data  [portNumber] : 989  [Protocol] : tcp
[serviceName] : gopher  [portNumber] : 70  [Protocol] : tcp
[serviceName] : hmmp-ind  [portNumber] : 612  [Protocol] : udp
[serviceName] : hmmp-ind  [portNumber] : 612  [Protocol] : tcp
[serviceName] : hmmp-op  [portNumber] : 613  [Protocol] : udp
[serviceName] : hmmp-op  [portNumber] : 613  [Protocol] : tcp
[serviceName] : hostname  [portNumber] : 101  [Protocol] : tcp
[serviceName] : hosts2-ns  [portNumber] : 81  [Protocol] : tcp
[serviceName] : hosts2-ns  [portNumber] : 81  [Protocol] : udp
[serviceName] : http  [portNumber] : 80  [Protocol] : tcp
[serviceName] : http-rpc-epmap  [portNumber] : 593  [Protocol] : udp
